row_kind,experiment_id,source_experiment_id,rule_type,rule_label,description,objective,objective_value,triangle_area,var_restore,gini_restore,p90_restore,min_time_avg_cri,p90_access_restore,share_access_initial,share_access_final,time_avg_share_access,cri_w_e,cri_w_a,cri_threshold,critical_access_threshold,is_primary_setting,is_pareto,session_dir,run_dir,sequence
sensitivity,sens::baseline_reference::we0.50_wa0.50_ct0.80_at0.90,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,38317.93769756453,0.532958289962822,431.473377,0.5247687475564559,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.5,0.5,0.8,0.9,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.50_wa0.50_ct0.80_at0.95,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,38317.93769756453,0.532958289962822,431.473377,0.5247687475564559,629.845106,0.20833333333333334,1.0,0.44024494836142564,0.5,0.5,0.8,0.95,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.50_wa0.50_ct0.90_at0.80,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,0.5247687475564559,431.473377,0.2916666666666667,1.0,0.6003260914570532,0.5,0.5,0.9,0.8,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.50_wa0.50_ct0.90_at0.90,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,0.5247687475564559,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.5,0.5,0.9,0.9,1,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.50_wa0.50_ct0.90_at0.95,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,39523.8364309399,0.3510473908196947,521.9500632999999,0.5247687475564559,629.845106,0.20833333333333334,1.0,0.44024494836142564,0.5,0.5,0.9,0.95,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.50_wa0.50_ct0.95_at0.80,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,46454.141098379994,0.3106984528582386,629.845106,0.5247687475564559,431.473377,0.2916666666666667,1.0,0.6003260914570532,0.5,0.5,0.95,0.8,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.50_wa0.50_ct0.95_at0.90,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,46454.141098379994,0.3106984528582386,629.845106,0.5247687475564559,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.5,0.5,0.95,0.9,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.50_wa0.50_ct0.95_at0.95,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,46454.141098379994,0.3106984528582386,629.845106,0.5247687475564559,629.845106,0.20833333333333334,1.0,0.44024494836142564,0.5,0.5,0.95,0.95,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.70_wa0.30_ct0.80_at0.80,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,38634.51071996795,0.6754548741670412,431.473377,0.3768181312184396,431.473377,0.2916666666666667,1.0,0.6003260914570532,0.7,0.3,0.8,0.8,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.70_wa0.30_ct0.80_at0.90,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,38634.51071996795,0.6754548741670412,431.473377,0.3768181312184396,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.7,0.3,0.8,0.9,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.70_wa0.30_ct0.80_at0.95,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,38634.51071996795,0.6754548741670412,431.473377,0.3768181312184396,629.845106,0.20833333333333334,1.0,0.44024494836142564,0.7,0.3,0.8,0.95,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.70_wa0.30_ct0.90_at0.80,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,45185.61436198171,0.4953033238272764,521.9500632999999,0.3768181312184396,431.473377,0.2916666666666667,1.0,0.6003260914570532,0.7,0.3,0.9,0.8,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.70_wa0.30_ct0.90_at0.90,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,45185.61436198171,0.4953033238272764,521.9500632999999,0.3768181312184396,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.7,0.3,0.9,0.9,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.70_wa0.30_ct0.90_at0.95,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,45185.61436198171,0.4953033238272764,521.9500632999999,0.3768181312184396,629.845106,0.20833333333333334,1.0,0.44024494836142564,0.7,0.3,0.9,0.95,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.70_wa0.30_ct0.95_at0.80,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,45261.74270403489,0.35604739940300556,560.725786,0.3768181312184396,431.473377,0.2916666666666667,1.0,0.6003260914570532,0.7,0.3,0.95,0.8,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.70_wa0.30_ct0.95_at0.90,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,45261.74270403489,0.35604739940300556,560.725786,0.3768181312184396,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.7,0.3,0.95,0.9,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.70_wa0.30_ct0.95_at0.95,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,45261.74270403489,0.35604739940300556,560.725786,0.3768181312184396,629.845106,0.20833333333333334,1.0,0.44024494836142564,0.7,0.3,0.95,0.95,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.30_wa0.70_ct0.80_at0.80,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,39692.8432229292,0.4601113443534859,431.473377,0.6086949682550307,431.473377,0.2916666666666667,1.0,0.6003260914570532,0.3,0.7,0.8,0.8,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.30_wa0.70_ct0.80_at0.90,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,39692.8432229292,0.4601113443534859,431.473377,0.6086949682550307,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.3,0.7,0.8,0.9,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.30_wa0.70_ct0.80_at0.95,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,39692.8432229292,0.4601113443534859,431.473377,0.6086949682550307,629.845106,0.20833333333333334,1.0,0.44024494836142564,0.3,0.7,0.8,0.95,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.30_wa0.70_ct0.90_at0.80,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,41836.704291720635,0.33158028295822994,560.725786,0.6086949682550307,431.473377,0.2916666666666667,1.0,0.6003260914570532,0.3,0.7,0.9,0.8,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.30_wa0.70_ct0.90_at0.90,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,41836.704291720635,0.33158028295822994,560.725786,0.6086949682550307,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.3,0.7,0.9,0.9,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.30_wa0.70_ct0.90_at0.95,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,41836.704291720635,0.33158028295822994,560.725786,0.6086949682550307,629.845106,0.20833333333333334,1.0,0.44024494836142564,0.3,0.7,0.9,0.95,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.30_wa0.70_ct0.95_at0.80,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,44476.500597315164,0.2855019664317895,629.845106,0.6086949682550307,431.473377,0.2916666666666667,1.0,0.6003260914570532,0.3,0.7,0.95,0.8,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
sensitivity,sens::baseline_reference::we0.30_wa0.70_ct0.95_at0.90,baseline_reference,sensitivity,Sensitivity re-evaluation,Sensitivity re-evaluation of an optimized sequence under alternate weights and thresholds.,triangle,310.8298714981072,310.8298714981072,44476.500597315164,0.2855019664317895,629.845106,0.6086949682550307,629.845106,0.2916666666666667,1.0,0.4810498512338471,0.3,0.7,0.95,0.9,0,,,results/tradeoff_20260321_163246/_sensitivity_tmp,"[(9, 10), 28, 11, 17, 15, 32, (11, 14)]"
